module,intent,question,answer,combined
Tree Pruning Citizen Request Service,validation_rule,"TAB What is the purpose of the ""Real-time request tracking via 'My Applications'"" feature for tree pruning requests?","TAB The ""Real-time request tracking via 'My Applications'"" feature allows citizens to track the status of their requests in real-time.","[Tree Pruning Citizen Request Service] Q: TAB What is the purpose of the ""Real-time request tracking via 'My Applications'"" feature for tree pruning requests? A: TAB The ""Real-time request tracking via 'My Applications'"" feature allows citizens to track the status of their requests in real-time."
Tree Pruning Citizen Request Service,sla,TAB What is the expected response time for tree pruning requests in terms of infrastructure safety?,"TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure.","[Tree Pruning Citizen Request Service] Q: TAB What is the expected response time for tree pruning requests in terms of infrastructure safety? A: TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure."
Tree Pruning Citizen Request Service,process,TAB How does the system ensure that tree pruning requests are handled in a structured and efficient manner in terms of infrastructure safety?,TAB The system ensures efficient request handling and response by municipal authorities through a structured workflow and real-time tracking.,[Tree Pruning Citizen Request Service] Q: TAB How does the system ensure that tree pruning requests are handled in a structured and efficient manner in terms of infrastructure safety? A: TAB The system ensures efficient request handling and response by municipal authorities through a structured workflow and real-time tracking.
Tree Pruning Citizen Request Service,edge_case,"TAB What happens if a citizen submits a request for a tree that is not hazardous or obstructive, but is still in need of pruning?","TAB The request will be handled as a regular tree pruning request, with the citizen notified of the status and any necessary actions.","[Tree Pruning Citizen Request Service] Q: TAB What happens if a citizen submits a request for a tree that is not hazardous or obstructive, but is still in need of pruning? A: TAB The request will be handled as a regular tree pruning request, with the citizen notified of the status and any necessary actions."
Tree Pruning Citizen Request Service,comparison,TAB How does the system compare the priority of tree pruning requests in terms of public safety?,"TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities.","[Tree Pruning Citizen Request Service] Q: TAB How does the system compare the priority of tree pruning requests in terms of public safety? A: TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities."
Tree Pruning Citizen Request Service,document_requirement,TAB Can citizens upload images or documents with their tree pruning requests in addition to location details and description of the issue?,"TAB Yes, citizens can upload images or documents with their requests in addition to location details and description of the issue.","[Tree Pruning Citizen Request Service] Q: TAB Can citizens upload images or documents with their tree pruning requests in addition to location details and description of the issue? A: TAB Yes, citizens can upload images or documents with their requests in addition to location details and description of the issue."
Tree Pruning Citizen Request Service,rejection_reason,TAB Under what circumstances will a tree pruning request be rejected due to lack of role-based workflow for municipal staff?,TAB A request will be rejected if it is not handled by municipal staff with the necessary access and permissions.,[Tree Pruning Citizen Request Service] Q: TAB Under what circumstances will a tree pruning request be rejected due to lack of role-based workflow for municipal staff? A: TAB A request will be rejected if it is not handled by municipal staff with the necessary access and permissions.
Tree Pruning Citizen Request Service,validation_rule,"TAB What is the purpose of the ""Assignment of requests to field teams"" feature for tree pruning requests in terms of infrastructure safety?","TAB The ""Assignment of requests to field teams"" feature ensures that requests are handled by the most appropriate team for efficient completion and infrastructure safety.","[Tree Pruning Citizen Request Service] Q: TAB What is the purpose of the ""Assignment of requests to field teams"" feature for tree pruning requests in terms of infrastructure safety? A: TAB The ""Assignment of requests to field teams"" feature ensures that requests are handled by the most appropriate team for efficient completion and infrastructure safety."
Tree Pruning Citizen Request Service,sla,TAB What is the expected response time for tree pruning requests in terms of urban greenery maintenance?,"TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure.","[Tree Pruning Citizen Request Service] Q: TAB What is the expected response time for tree pruning requests in terms of urban greenery maintenance? A: TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure."
Tree Pruning Citizen Request Service,process,TAB How does the system ensure that tree pruning requests are completed in a timely manner in terms of urban greenery maintenance?,TAB The system ensures timely action for maintaining public safety and infrastructure through a structured workflow and real-time tracking.,[Tree Pruning Citizen Request Service] Q: TAB How does the system ensure that tree pruning requests are completed in a timely manner in terms of urban greenery maintenance? A: TAB The system ensures timely action for maintaining public safety and infrastructure through a structured workflow and real-time tracking.
Tree Pruning Citizen Request Service,edge_case,"TAB What happens if a citizen submits a request for a tree that is already scheduled for pruning, but the pruning is not yet complete?",TAB The system will likely update the status of the existing request,"[Tree Pruning Citizen Request Service] Q: TAB What happens if a citizen submits a request for a tree that is already scheduled for pruning, but the pruning is not yet complete? A: TAB The system will likely update the status of the existing request"
Street Vendors Management,intent,question,answer,[Street Vendors Management] Q: question A: answer
Street Vendors Management,validation_rule,What triggers a reminder notification for a street vendor's application?,A reminder notification is triggered when a street vendor's application has unpaid or partially paid fees.,[Street Vendors Management] Q: What triggers a reminder notification for a street vendor's application? A: A reminder notification is triggered when a street vendor's application has unpaid or partially paid fees.
Desludging Service,1. intent,What are the conditions for a desludging service application to be considered valid?,"validation_rule	A desludging service application is considered valid if it includes all required information, such as multiple trips and payment of fees for the service delivery online.","[Desludging Service] Q: What are the conditions for a desludging service application to be considered valid? A: validation_rule	A desludging service application is considered valid if it includes all required information, such as multiple trips and payment of fees for the service delivery online."
Desludging Service,2. intent,What is the purpose of digitizing the desludging service lifecycle?,"process	To streamline the desludging service lifecycle from request to disposal, eliminating the current manual process.","[Desludging Service] Q: What is the purpose of digitizing the desludging service lifecycle? A: process	To streamline the desludging service lifecycle from request to disposal, eliminating the current manual process."
Desludging Service,3. intent,"What are the safety protocols for the collection, transportation, and disposal of faecal sludge?","validation_rule	The collection, transportation, and disposal of faecal sludge must be done at authorized FSTP/STP facilities to ensure safe disposal.","[Desludging Service] Q: What are the safety protocols for the collection, transportation, and disposal of faecal sludge? A: validation_rule	The collection, transportation, and disposal of faecal sludge must be done at authorized FSTP/STP facilities to ensure safe disposal."
Desludging Service,4. intent,"What features should a seamless, transparent, and user-friendly interface for citizens and Urban Local Bodies (ULBs) include?","document_requirement	A seamless, transparent, and user-friendly interface for citizens and ULBs should include features such as online application submission, schedule desludging operation, and updating vehicle entry in the FSTP/STP plant.","[Desludging Service] Q: What features should a seamless, transparent, and user-friendly interface for citizens and Urban Local Bodies (ULBs) include? A: document_requirement	A seamless, transparent, and user-friendly interface for citizens and ULBs should include features such as online application submission, schedule desludging operation, and updating vehicle entry in the FSTP/STP plant."
Desludging Service,5. intent,"What metrics should be tracked for efficient monitoring, tracking, and reporting of desludging operations?","document_requirement	Efficient monitoring, tracking, and reporting of desludging operations should include metrics such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and reporting and dashboards.","[Desludging Service] Q: What metrics should be tracked for efficient monitoring, tracking, and reporting of desludging operations? A: document_requirement	Efficient monitoring, tracking, and reporting of desludging operations should include metrics such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and reporting and dashboards."
Desludging Service,6. intent,What are the environmental and health benefits of proper waste management through the desludging service?,document_requirement	Proper waste management through the desludging service improves environmental sanitation and promotes public health by reducing the risk of waterborne diseases and environmental pollution.,[Desludging Service] Q: What are the environmental and health benefits of proper waste management through the desludging service? A: document_requirement	Proper waste management through the desludging service improves environmental sanitation and promotes public health by reducing the risk of waterborne diseases and environmental pollution.
Desludging Service,7. intent,What is the purpose of reducing manual intervention and enhancing accountability via role-based workflows?,"process	To reduce manual intervention and enhance accountability via role-based workflows, ensuring that each user has a clear role and responsibility in the desludging service process.","[Desludging Service] Q: What is the purpose of reducing manual intervention and enhancing accountability via role-based workflows? A: process	To reduce manual intervention and enhance accountability via role-based workflows, ensuring that each user has a clear role and responsibility in the desludging service process."
Desludging Service,8. intent,What data should be available for data-driven decision-making through dashboards and analytics?,"document_requirement	Data available for data-driven decision-making through dashboards and analytics should include metrics such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and reporting and dashboards.","[Desludging Service] Q: What data should be available for data-driven decision-making through dashboards and analytics? A: document_requirement	Data available for data-driven decision-making through dashboards and analytics should include metrics such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and reporting and dashboards."
Desludging Service,9. intent,What is the purpose of enabling urban-rural convergence for desludging services?,"process	To enable urban-rural convergence for desludging services, ensuring that desludging services are accessible and available to both urban and rural areas.","[Desludging Service] Q: What is the purpose of enabling urban-rural convergence for desludging services? A: process	To enable urban-rural convergence for desludging services, ensuring that desludging services are accessible and available to both urban and rural areas."
Desludging Service,10. intent,What are the conditions for approval and rejection of desludging service applications?,"rejection_reason	Desludging service applications can be rejected if they are incomplete, do not meet the required standards, or are not submitted through the authorized channels.","[Desludging Service] Q: What are the conditions for approval and rejection of desludging service applications? A: rejection_reason	Desludging service applications can be rejected if they are incomplete, do not meet the required standards, or are not submitted through the authorized channels."
Desludging Service,11. intent,"What information should be configured for employees, desludging operators, city boundary details, users, user role, department designations, and city details?","document_requirement	Masters configurations for employees, desludging operators, city boundary details, users, user role, department designations, and city details should include information such as employee roles, desludging operator licenses, city boundary details, and user roles.","[Desludging Service] Q: What information should be configured for employees, desludging operators, city boundary details, users, user role, department designations, and city details? A: document_requirement	Masters configurations for employees, desludging operators, city boundary details, users, user role, department designations, and city details should include information such as employee roles, desludging operator licenses, city boundary details, and user roles."
Desludging Service,12. intent,What types of notifications should be sent to citizens and ULBs?,"document_requirement	Notifications should be sent to citizens and ULBs for events such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and application submission status.","[Desludging Service] Q: What types of notifications should be sent to citizens and ULBs? A: document_requirement	Notifications should be sent to citizens and ULBs for events such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and application submission status."
Desludging Service,13. intent,What are the options for submitting desludging service applications?,document_requirement	Desludging service applications can be submitted online by citizens and ULBs through the portal.,[Desludging Service] Q: What are the options for submitting desludging service applications? A: document_requirement	Desludging service applications can be submitted online by citizens and ULBs through the portal.
Desludging Service,14. intent,What is the process for scheduling desludging operations?,"process	The process for scheduling desludging operations involves submitting an application, scheduling the operation, and updating the vehicle entry in the FSTP/STP plant.","[Desludging Service] Q: What is the process for scheduling desludging operations? A: process	The process for scheduling desludging operations involves submitting an application, scheduling the operation, and updating the vehicle entry in the FSTP/STP plant."
Desludging Service,15. intent,What is the purpose of updating the vehicle entry in the FSTP/STP plant?,"process	To update the vehicle entry in the FSTP/STP plant, ensuring that the vehicle is properly registered and accounted for in the desludging operation.","[Desludging Service] Q: What is the purpose of updating the vehicle entry in the FSTP/STP plant? A: process	To update the vehicle entry in the FSTP/STP plant, ensuring that the vehicle is properly registered and accounted for in the desludging operation."
Desludging Service,16. intent,What metrics should be tracked for reporting and dashboards?,"document_requirement	Reporting and dashboards should include metrics such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and application submission status.","[Desludging Service] Q: What metrics should be tracked for reporting and dashboards? A: document_requirement	Reporting and dashboards should include metrics such as desludging operation schedule, vehicle entry in the FSTP/STP plant, and application submission status."
Desludging Service,17. intent,What are the functional requirements for the desludging service module?,"document_requirement	The functional requirements for the desludging service module include features such as online application submission, schedule desludging operation, and updating vehicle entry in the FSTP/STP plant.","[Desludging Service] Q: What are the functional requirements for the desludging service module? A: document_requirement	The functional requirements for the desludging service module include features such as online application submission, schedule desludging operation, and updating vehicle entry in the FSTP/STP plant."
Desludging Service,18. intent,What are the list of functionalities for the desludging service module?,"document_requirement	The list of functionalities for the desludging service module includes features such as portal, data entry form, and reporting and dashboards.","[Desludging Service] Q: What are the list of functionalities for the desludging service module? A: document_requirement	The list of functionalities for the desludging service module includes features such as portal, data entry form, and reporting and dashboards."
Desludging Service,19. intent,What is the provision for citizens to make desludging requests online?,document_requirement	The provision for citizens to make desludging requests online includes features such as online application submission and schedule desludging operation.,[Desludging Service] Q: What is the provision for citizens to make desludging requests online? A: document_requirement	The provision for citizens to make desludging requests online includes features such as online application submission and schedule desludging operation.
Desludging Service,20. intent,What is the provision for States/UTs/Cities to enter data using a data entry form at the backend?,"document_requirement	The provision for States/UTs/Cities to enter data using a data entry form at the backend includes features such as data entry form, admin boundaries, and user roles mapping.","[Desludging Service] Q: What is the provision for States/UTs/Cities to enter data using a data entry form at the backend? A: document_requirement	The provision for States/UTs/Cities to enter data using a data entry form at the backend includes features such as data entry form, admin boundaries, and user roles mapping."
Desludging Service,1. intent,What are the language options available for first-time registration via the web portal?,Registration can be done in multiple languages during first-time registration via the web portal.,[Desludging Service] Q: What are the language options available for first-time registration via the web portal? A: Registration can be done in multiple languages during first-time registration via the web portal.
Desludging Service,2. validation_rule,What is the login method for citizens and counter employees via the web portal?,OTP-based login is required for citizens and counter employees via the web portal.,[Desludging Service] Q: What is the login method for citizens and counter employees via the web portal? A: OTP-based login is required for citizens and counter employees via the web portal.
Desludging Service,3. sla,How do different levels of employees access the system?,Login credentials are provided for various hierarchies of employees.,[Desludging Service] Q: How do different levels of employees access the system? A: Login credentials are provided for various hierarchies of employees.
Desludging Service,4. process,What information is available on a citizen's or counter employee's personalized profile?,A citizen's or counter employee's profile contains personalized information.,[Desludging Service] Q: What information is available on a citizen's or counter employee's personalized profile? A: A citizen's or counter employee's profile contains personalized information.
Desludging Service,5. process,Who can apply for desludging services?,"Call center executives, citizens, and counter employees can apply for desludging services.","[Desludging Service] Q: Who can apply for desludging services? A: Call center executives, citizens, and counter employees can apply for desludging services."
Desludging Service,6. validation_rule,Is a property ID required to apply for desludging services?,A property ID is required to be added by the citizen to mark the septic tank with prior information.,[Desludging Service] Q: Is a property ID required to apply for desludging services? A: A property ID is required to be added by the citizen to mark the septic tank with prior information.
Desludging Service,7. validation_rule,How are property types mapped in the system?,Different types of properties are mapped as per centralized master data common for all states.,[Desludging Service] Q: How are property types mapped in the system? A: Different types of properties are mapped as per centralized master data common for all states.
Desludging Service,8. validation_rule,How are property sub-types mapped in the system?,Different sub-types of properties are mapped as per centralized master data common for all states.,[Desludging Service] Q: How are property sub-types mapped in the system? A: Different sub-types of properties are mapped as per centralized master data common for all states.
Desludging Service,9. sla,How is property location pinned in the system?,Property location can be pinned using GIS integration with a centralized GIS provider at the central level.,[Desludging Service] Q: How is property location pinned in the system? A: Property location can be pinned using GIS integration with a centralized GIS provider at the central level.
Desludging Service,10. validation_rule,How are pincodes mapped in the system?,"Pincodes are mapped as per the ULBs, villages (GPs).","[Desludging Service] Q: How are pincodes mapped in the system? A: Pincodes are mapped as per the ULBs, villages (GPs)."
Desludging Service,11. validation_rule,What information can be provided for property address?,"Call center executives, citizens, and counter employees can provide property address information such as city, locality, zone, block, and villages (GPs).","[Desludging Service] Q: What information can be provided for property address? A: Call center executives, citizens, and counter employees can provide property address information such as city, locality, zone, block, and villages (GPs)."
Desludging Service,12. validation_rule,How are slum areas mapped in the system?,"Slum areas can be mapped, and states can provide exceptions and rebates based on state rules and by-laws.","[Desludging Service] Q: How are slum areas mapped in the system? A: Slum areas can be mapped, and states can provide exceptions and rebates based on state rules and by-laws."
Desludging Service,13. validation_rule,What information is required for property location?,"Property address information such as street name, door/house number, and location within ULB limits or Gram Panchayat is required.","[Desludging Service] Q: What information is required for property location? A: Property address information such as street name, door/house number, and location within ULB limits or Gram Panchayat is required."
Desludging Service,14. validation_rule,What information can be provided as a landmark?,"Call center executives, citizens, or counter employees can provide landmark information.","[Desludging Service] Q: What information can be provided as a landmark? A: Call center executives, citizens, or counter employees can provide landmark information."
Desludging Service,15. validation_rule,What information is required for road width?,Citizens must enter the road width to ensure the desludging/cesspool vehicle can be sent accordingly.,[Desludging Service] Q: What information is required for road width? A: Citizens must enter the road width to ensure the desludging/cesspool vehicle can be sent accordingly.
Desludging Service,16. validation_rule,What information is required for distance from the road?,Citizens must enter the distance from the road to the septic tank to ensure obstruction-free desludging.,[Desludging Service] Q: What information is required for distance from the road? A: Citizens must enter the distance from the road to the septic tank to ensure obstruction-free desludging.
Desludging Service,17. validation_rule,What types of pits can be chosen?,"Pit types such as conventional septic tanks, septic tanks with soak pits, etc. can be chosen.","[Desludging Service] Q: What types of pits can be chosen? A: Pit types such as conventional septic tanks, septic tanks with soak pits, etc. can be chosen."
Desludging Service,18. document_requirement,What type of documentation is required for pit photos?,Citizens can upload pit photos as documentation.,[Desludging Service] Q: What type of documentation is required for pit photos? A: Citizens can upload pit photos as documentation.
Desludging Service,19. process,What payment options are available for desludging services?,"Advance and final payments can be made by citizens, counter employees, or PSSOs.","[Desludging Service] Q: What payment options are available for desludging services? A: Advance and final payments can be made by citizens, counter employees, or PSSOs."
Desludging Service,20. process,Who can edit application details before submitting the application?,"Call center executives, counter employees, and citizens can edit application details before submitting the application.","[Desludging Service] Q: Who can edit application details before submitting the application? A: Call center executives, counter employees, and citizens can edit application details before submitting the application."
Desludging Service,1. intent,What triggers the generation of an acknowledgement form in the Desludging Service module?,An acknowledgement form is generated and can be downloaded in the pdf format when the service is initiated.,[Desludging Service] Q: What triggers the generation of an acknowledgement form in the Desludging Service module? A: An acknowledgement form is generated and can be downloaded in the pdf format when the service is initiated.
Desludging Service,2. intent,"Who is responsible for collecting payment for the Desludging Service when it is paid by cheque, cash, or demand draft?","Counter Employee is responsible for collecting payment for the Desludging Service when it is paid by cheque, cash, or demand draft.","[Desludging Service] Q: Who is responsible for collecting payment for the Desludging Service when it is paid by cheque, cash, or demand draft? A: Counter Employee is responsible for collecting payment for the Desludging Service when it is paid by cheque, cash, or demand draft."
Desludging Service,3. intent,"Who is responsible for collecting payment for the Desludging Service when it is paid online, via net banking, debit card, or credit card?","Citizen is responsible for collecting payment for the Desludging Service when it is paid online, via net banking, debit card, or credit card.","[Desludging Service] Q: Who is responsible for collecting payment for the Desludging Service when it is paid online, via net banking, debit card, or credit card? A: Citizen is responsible for collecting payment for the Desludging Service when it is paid online, via net banking, debit card, or credit card."
Desludging Service,4. intent,How can a citizen download receipts for payments made in the Desludging Service?,A citizen can download receipts for payments made in the Desludging Service through the Citizen/CSC portal.,[Desludging Service] Q: How can a citizen download receipts for payments made in the Desludging Service? A: A citizen can download receipts for payments made in the Desludging Service through the Citizen/CSC portal.
Desludging Service,5. intent,How can a citizen track the status of their application in the Desludging Service?,A citizen can track the status of their application in the Desludging Service through the 'My Application' feature.,[Desludging Service] Q: How can a citizen track the status of their application in the Desludging Service? A: A citizen can track the status of their application in the Desludging Service through the 'My Application' feature.
Desludging Service,6. intent,"Who can view the application timeline, including the status and comments, in the Desludging Service?","Citizen and Counter Employee can view the application timeline, including the status and comments, in the Desludging Service.","[Desludging Service] Q: Who can view the application timeline, including the status and comments, in the Desludging Service? A: Citizen and Counter Employee can view the application timeline, including the status and comments, in the Desludging Service."
Desludging Service,7. intent,What type of notification is available in the Desludging Service?,Notification is available in the Desludging Service.,[Desludging Service] Q: What type of notification is available in the Desludging Service? A: Notification is available in the Desludging Service.
Desludging Service,8. intent,What type of notification is sent to citizens in the Desludging Service?,SMS notification is sent to citizens at every step where the application is forwarded in the Desludging Service.,[Desludging Service] Q: What type of notification is sent to citizens in the Desludging Service? A: SMS notification is sent to citizens at every step where the application is forwarded in the Desludging Service.
Desludging Service,9. intent,How are rates configured for the Desludging Service in different ULBs and villages (GPs)?,There is a common configurable rate master for ULBs and villages (GPs) in the Desludging Service.,[Desludging Service] Q: How are rates configured for the Desludging Service in different ULBs and villages (GPs)? A: There is a common configurable rate master for ULBs and villages (GPs) in the Desludging Service.
Desludging Service,10. intent,How are charges and calculations configured for the Desludging Service at the state level?,There is a configurable Charges & Calculation at the state level using the Calculation Engine in the Desludging Service.,[Desludging Service] Q: How are charges and calculations configured for the Desludging Service at the state level? A: There is a configurable Charges & Calculation at the state level using the Calculation Engine in the Desludging Service.
Desludging Service,11. intent,What types of data are configured at the central level in the Desludging Service?,"There are common State Masters, including Property Ontology, Documents List, Employee Data Mapping, Boundary Data Mapping, and standard workflows, configured at the central level in the Desludging Service.","[Desludging Service] Q: What types of data are configured at the central level in the Desludging Service? A: There are common State Masters, including Property Ontology, Documents List, Employee Data Mapping, Boundary Data Mapping, and standard workflows, configured at the central level in the Desludging Service."
Desludging Service,12. intent,How is the verification and approval flow configured in the Desludging Service?,There is a common Configurable Verification & Approval flow at the central level in the Desludging Service.,[Desludging Service] Q: How is the verification and approval flow configured in the Desludging Service? A: There is a common Configurable Verification & Approval flow at the central level in the Desludging Service.
Desludging Service,13. intent,How are employees registered in the Desludging Service?,Registration of employees is done using a data entry form at the front end by the states in the Desludging Service.,[Desludging Service] Q: How are employees registered in the Desludging Service? A: Registration of employees is done using a data entry form at the front end by the states in the Desludging Service.
Desludging Service,14. intent,How are PSSOs registered in the Desludging Service?,Registration of the PSSOs is done using a data entry form at the front end by the states in the Desludging Service.,[Desludging Service] Q: How are PSSOs registered in the Desludging Service? A: Registration of the PSSOs is done using a data entry form at the front end by the states in the Desludging Service.
Desludging Service,15. intent,How are Municipal Owned Equipment (MOE) registered in the Desludging Service?,Registration of the Municipal Owned Equipment (MOE) is done using a data entry form at the front end by the states in the Desludging Service.,[Desludging Service] Q: How are Municipal Owned Equipment (MOE) registered in the Desludging Service? A: Registration of the Municipal Owned Equipment (MOE) is done using a data entry form at the front end by the states in the Desludging Service.
Desludging Service,16. intent,How are vehicles registered in the Desludging Service?,Registration of the Vehicles is done using a data entry form at the front end by the states in the Desludging Service.,[Desludging Service] Q: How are vehicles registered in the Desludging Service? A: Registration of the Vehicles is done using a data entry form at the front end by the states in the Desludging Service.
Desludging Service,17. intent,How are drivers registered in the Desludging Service?,Registration of the drivers is done using a data entry form at the front end by the states in the Desludging Service.,[Desludging Service] Q: How are drivers registered in the Desludging Service? A: Registration of the drivers is done using a data entry form at the front end by the states in the Desludging Service.
Desludging Service,18. intent,What measures are taken to protect sensitive data in the Desludging Service?,Protection of sensitive data is ensured in the Desludging Service.,[Desludging Service] Q: What measures are taken to protect sensitive data in the Desludging Service? A: Protection of sensitive data is ensured in the Desludging Service.
Desludging Service,19. intent,What changes can be made to a document in the Desludging Service?,"Changes can be made to a document in the Desludging Service, including adding details of citizens, such as dimensions and trips.","[Desludging Service] Q: What changes can be made to a document in the Desludging Service? A: Changes can be made to a document in the Desludging Service, including adding details of citizens, such as dimensions and trips."
Desludging Service,20. intent,Who can assign a PSSO in the Desludging Service?,A PSSO can be assigned in the Desludging Service.,[Desludging Service] Q: Who can assign a PSSO in the Desludging Service? A: A PSSO can be assigned in the Desludging Service.
Desludging Service,validation_rule,What are the conditions under which a PSSO approval is required for a desludging request?,Approval is required when a desludging request is submitted.,[Desludging Service] Q: What are the conditions under which a PSSO approval is required for a desludging request? A: Approval is required when a desludging request is submitted.
Desludging Service,process,What is the responsibility of the PSSO in the vehicle assignment process?,The PSSO is responsible for assigning a vehicle to a desludging request.,[Desludging Service] Q: What is the responsibility of the PSSO in the vehicle assignment process? A: The PSSO is responsible for assigning a vehicle to a desludging request.
Desludging Service,process,What is the role of the PSSO in updating trip schedules for desludging requests?,The PSSO updates trip schedules as per the requirements of the desludging request.,[Desludging Service] Q: What is the role of the PSSO in updating trip schedules for desludging requests? A: The PSSO updates trip schedules as per the requirements of the desludging request.
Desludging Service,rejection_reason,What are the circumstances under which a PSSO can be reassigned to another PSSO?,A PSSO can be reassigned if their request has been rejected or declined.,[Desludging Service] Q: What are the circumstances under which a PSSO can be reassigned to another PSSO? A: A PSSO can be reassigned if their request has been rejected or declined.
Desludging Service,process,What is the authority of the PSSO in updating and rescheduling trips for desludging requests?,The PSSO has the authority to update and reschedule trips as needed.,[Desludging Service] Q: What is the authority of the PSSO in updating and rescheduling trips for desludging requests? A: The PSSO has the authority to update and reschedule trips as needed.
Desludging Service,document_requirement,What information must be recorded by the plant operator in the vehicle log entry?,"The plant operator must record Vehicle No., PSSO Name, Locality, Septage dumped, Trips, in and out time, comments, and any supporting documents.","[Desludging Service] Q: What information must be recorded by the plant operator in the vehicle log entry? A: The plant operator must record Vehicle No., PSSO Name, Locality, Septage dumped, Trips, in and out time, comments, and any supporting documents."
Desludging Service,process,What is the purpose of mapping FSTP/STP with ULBs or villages?,The purpose is to cater to the demand of Urban Rural Convergence and to map villages with Rural FSTP/STP.,[Desludging Service] Q: What is the purpose of mapping FSTP/STP with ULBs or villages? A: The purpose is to cater to the demand of Urban Rural Convergence and to map villages with Rural FSTP/STP.
Desludging Service,sla,What metrics are used to measure the performance of the desludging service on the dashboard?,"The metrics include Total Requests, Total Sludge Treated, Average Desludging Service Cost, This FY Collection till Date, SLA Compliance, Average Citizen Rating, Top 3 Performing States, Bottom 3 Performing States, Desludging Service Collection By Usage Type, FSTP - Capacity Utilization, Monthly Septage Collected, and Total Cumulative Collection.","[Desludging Service] Q: What metrics are used to measure the performance of the desludging service on the dashboard? A: The metrics include Total Requests, Total Sludge Treated, Average Desludging Service Cost, This FY Collection till Date, SLA Compliance, Average Citizen Rating, Top 3 Performing States, Bottom 3 Performing States, Desludging Service Collection By Usage Type, FSTP - Capacity Utilization, Monthly Septage Collected, and Total Cumulative Collection."
Desludging Service,document_requirement,What type of reports are available for the desludging service?,Desludging reports are available.,[Desludging Service] Q: What type of reports are available for the desludging service? A: Desludging reports are available.
Desludging Service,process,What is the purpose of adding a QR code feature to the desludging service?,"The purpose is to store citizen data and allow for easy re-submission of requests without re-entering data, facilitating periodic desludging.","[Desludging Service] Q: What is the purpose of adding a QR code feature to the desludging service? A: The purpose is to store citizen data and allow for easy re-submission of requests without re-entering data, facilitating periodic desludging."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"The mode of collection for remittances is determined by the configurable settings in the system, allowing for flexibility in payment processing.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: The mode of collection for remittances is determined by the configurable settings in the system, allowing for flexibility in payment processing."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Budget re-appropriations allow for the reallocation of funds within a budget, enabling the municipality to adapt to changing financial circumstances.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Budget re-appropriations allow for the reallocation of funds within a budget, enabling the municipality to adapt to changing financial circumstances."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"The capitalization of an asset is triggered when the asset's cost exceeds a predetermined threshold, as specified in the system's configuration.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: The capitalization of an asset is triggered when the asset's cost exceeds a predetermined threshold, as specified in the system's configuration."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Contra entries are used to record the offsetting of transactions, ensuring that the financial records accurately reflect the municipality's financial position.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Contra entries are used to record the offsetting of transactions, ensuring that the financial records accurately reflect the municipality's financial position."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Statutory deductions are mandatory, as required by law, whereas non-statutory deductions are optional and may be imposed by the municipality.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Statutory deductions are mandatory, as required by law, whereas non-statutory deductions are optional and may be imposed by the municipality."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"The functional requirements outline the system's capabilities and functionalities, ensuring that it meets the municipality's financial management needs.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: The functional requirements outline the system's capabilities and functionalities, ensuring that it meets the municipality's financial management needs."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Configuring masters allows the municipality to customize the system's settings, ensuring that it accurately reflects their financial management practices.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Configuring masters allows the municipality to customize the system's settings, ensuring that it accurately reflects their financial management practices."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Detailed codes enable the municipality to categorize and track financial transactions accurately, facilitating financial analysis and reporting.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Detailed codes enable the municipality to categorize and track financial transactions accurately, facilitating financial analysis and reporting."
